xValue    Pressure    Density    Velocity
0.2175   0.303108   0.282615   0.927477
0.22   0.303109   0.28026   0.927476
0.2225   0.303109   0.278148   0.927476
0.225   0.30311   0.276267   0.927475
0.2275   0.303111   0.274605   0.927475
0.23   0.303111   0.273146   0.927475
0.2325   0.303112   0.271876   0.927475
0.235   0.303113   0.270777   0.927475
0.2375   0.303114   0.269835   0.927475
0.24   0.303115   0.269033   0.927476
0.2425   0.303115   0.268356   0.927476
0.245   0.303116   0.267789   0.927477
0.2475   0.303117   0.267317   0.927478
0.25   0.303118   0.266929   0.927479
0.2525   0.303119   0.266612   0.92748
0.255   0.30312   0.266355   0.927481
0.2575   0.303121   0.26615   0.927483
0.26   0.303122   0.265987   0.927485
0.2625   0.303124   0.26586   0.927487
0.265   0.303125   0.265761   0.927489
0.2675   0.303126   0.265686   0.927492
0.27   0.303127   0.265629   0.927494
0.2725   0.303129   0.265588   0.927497
0.275   0.30313   0.265559   0.927501
0.2775   0.303132   0.265538   0.927504
0.28   0.303134   0.265525   0.927508
0.2825   0.303136   0.265518   0.927513
0.285   0.303137   0.265514   0.927517
0.2875   0.303139   0.265513   0.927522
0.29   0.303141   0.265514   0.927526
0.2925   0.303143   0.265517   0.927531
0.295   0.303145   0.26552   0.927535
0.2975   0.303146   0.265524   0.927538
0.3   0.303147   0.265528   0.927539
0.3025   0.303146   0.26553   0.927535
0.305   0.303142   0.265532   0.927523
0.3075   0.303134   0.26553   0.927498
0.31   0.303118   0.265523   0.92745
0.3125   0.30309   0.265508   0.927365
0.315   0.303039   0.26548   0.927214
0.3175   0.302953   0.265428   0.926955
0.32   0.302806   0.265338   0.926516
0.3225   0.302558   0.265185   0.925775
0.325   0.302142   0.264927   0.924534
0.3275   0.30145   0.264496   0.922463
0.33   0.300304   0.263779   0.919026
0.3325   0.29842   0.2626   0.913351
0.335   0.295359   0.260679   0.904062
0.3375   0.290466   0.2576   0.889035
0.34   0.282842   0.252785   0.865169
0.3425   0.271405   0.245519   0.828276
0.345   0.255156   0.235106   0.77343
0.3475   0.233726   0.221197   0.696204
0.35   0.208058   0.204232   0.595138
0.3525   0.18072   0.185707   0.474954
0.355   0.155264   0.167871   0.348304
0.3575   0.134702   0.152851   0.232676
0.36   0.120214   0.141759   0.142159
0.3625   0.111125   0.134474   0.0807672
0.365   0.105896   0.130118   0.0436221
0.3675   0.103055   0.127685   0.022838
0.37   0.101563   0.126384   0.0117483
0.3725   0.100794   0.125706   0.00598677
0.375   0.100402   0.125358   0.00303573
0.3775   0.100203   0.125181   0.00153539
0.38   0.100103   0.125092   0.000775516
0.3825   0.100052   0.125046   0.000391424
0.385   0.100026   0.125023   0.00019748
0.3875   0.100013   0.125012   9.96052e-005
0.39   0.100007   0.125006   5.02291e-005
0.3925   0.100003   0.125003   2.53253e-005
0.395   0.100002   0.125002   1.27668e-005
0.3975   0.100001   0.125001   6.43479e-006
0.4   0.1   0.125   3.24268e-006
0.4025   0.1   0.125   1.63374e-006
0.405   0.1   0.125   8.22929e-007
0.4075   0.1   0.125   4.14409e-007
0.41   0.1   0.125   2.08627e-007
